ART CODE,TITLE,TYPE,YEAR,ARTIST,ADDRESS,LOCATION,X,Y,IMAGE_URL,JPG_URL
608,Fire Station 5 (Sublimation of Flame),Sculptural Relief,2010,Hi- Ying Wu,123 Dallas NE,Fire Station #5,-106.5604022,35.076,http://www.flickr.com/photos/abqpublicart/6871911427/,http://farm8.staticflickr.com/7052/6871911427_87830764df_m.jpg
609,Camera Man,public sculpture,2012,Mark Fredenburg,9201 Balloon Museum DR NE,Anderson Abruzzo International Balloon Museum,-106.5986825,35.19019172,http://www.flickr.com/photos/abqpublicart/8663297921/in/photostream/,http://farm9.staticflickr.com/8247/8663297921_8a18653c81_n.jpg
610,Convention Center Mosaic,mosaic,2008,Cassandra Reid,401 2nd St NW,Convention Center,-106.6484532,35.0866,http://www.flickr.com/photos/abqpublicart/6881968279/,http://farm8.staticflickr.com/7051/6881968279_5b223eebca_m.jpg
612,Milky Starfish,public sculpture,2008,Edith Pons,7505 Kathryn SE,Cesar Chavez Community Center,-106.5651637,35.06523608,http://www.flickr.com/photos/abqpublicart/6870955169/,http://farm8.staticflickr.com/7050/6870955169_50866f4417_m.jpg
613,Flyway,land art,2011,Robert Wilson,6500 Coors Blvd NW,Open Space Visitors Center ,-106.6753721,35.16764435,http://www.flickr.com/photos/abqpublicart/6882081579/,http://farm8.staticflickr.com/7069/6882081579_bd7709da6b_m.jpg
614,Any-Angled Light (Bear Canyon Bridge Lighting),Light art,2010," Linnaea Tillet Lighting Design, Inc.",Jefferson NE and Interstate 25 ,I-25 between Jefferson and Osuna exits,-106.5921,35.1429,https://www.flickr.com/photos/abqpublicart/10429677353/,https://farm3.staticflickr.com/2885/10429677353_a906945b43_n.jpg
615,Campo Expandido XVIII ,mural paintings (visual works),2008,Raymundo Sesma,4904 4th St NW,VSA North 4th Arts center,-106.6422343,35.13151208,http://www.flickr.com/photos/abqpublicart/6881979813/,http://farm8.staticflickr.com/7207/6881979813_2962928e20_m.jpg
616,Lowell Elementary Sculpture Wall ,mural paintings (visual works),2008,Edward Duval-Carrie,1700 Sunshine Ter. SE,Lowell Elementary School ,-106.6285229,35.06258635,http://www.flickr.com/photos/abqpublicart/6870983725/,http://farm8.staticflickr.com/7192/6870983725_da4ae36a9c_m.jpg
617,Untitled,Black-and-white print,2008,Alexander Long,8205 Apache NE,Wyoming Branch Library,-106.552919,35.10765,http://www.flickr.com/photos/abqpublicart/6871920237/,http://farm8.staticflickr.com/7060/6871920237_b9e77120ea_m.jpg
617.01,Untitled,photographs (visual works),2008,Juan Montalvo,8205 Apache NE,Wyoming Branch Library,-106.552919,35.10765,http://www.flickr.com/photos/abqpublicart/6871920161/in/photostream/,http://farm8.staticflickr.com/7054/6871920161_eb99cd656e_m.jpg
617.02,Untitled,photographs (visual works),2008,Monica Pineda,400 Marquette NW,"City/County government Building, Purchasing lobby",-106.6518903,35.08796187,http://www.flickr.com/photos/abqpublicart/6886964729/,http://farm8.staticflickr.com/7202/6886964729_96a3b87204_m.jpg
618,Center of the City Centennial Project (1912),metalwork,2012,Yamilette Duarte,100 Gold SW,Sidewalks,-106.6518643,35.08389456,http://www.flickr.com/photos/abqpublicart/7796228910,http://farm8.staticflickr.com/7125/7796228910_4e1e0e41c9_m.jpg
618.01,Center of the City Centennial Project (2012),metalwork,2012,Yamilette Duarte,On Indian School Rd between 4th and 3rd Streets,Sidewalks,-106.6459903,35.105429,http://www.flickr.com/photos/abqpublicart/7796225416,http://farm9.staticflickr.com/8424/7796225416_73b03626e6_m.jpg
619,Golf Course Road Art Fence,Wall pieces,,Paula Castillo,Golf Course Rd and Ellison NW,Golf Course Rd and Ellison NW,-106.675291,35.205903,http://www.flickr.com/photos/abqpublicart/6886940013/in/photostream/,http://farm8.staticflickr.com/7200/6886940013_4318c37cb8_m.jpg
620,Gentleman,mixed media,2008,Nathan Ramone,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/6881996493/,http://farm8.staticflickr.com/7069/6881996493_09f3cdc7c1_m.jpg
624,Book Warden,public sculpture,2009,Melissa Zink,423 Central Ave NE,Special Collections Library,-106.6430032,35.08371122,http://www.flickr.com/photos/abqpublicart/6798037508/in/photostream,http://farm8.staticflickr.com/7039/6798037508_53892dddd3_m.jpg
625,Communications Center Photo Panel-Fire,photographs (visual works),2009,Karen Mazur,11510 Sunset Gardens SW,Communications Center,-106.758614,35.064199,http://www.flickr.com/photos/abqpublicart/6836966405/,http://farm8.staticflickr.com/7018/6836966405_972df6026c_m.jpg
